username,rating,language,title,review_text,date,country,sentiment,summary,sentiment_clean
trustpiloter,1,en,reply to Veronique,"I got a reply from Veronique Keytrade and I can't reply to that message but basically Keytrade offered 50 euros with the promocode ""50inmypocket"" last year which I did, but every time I tried completing my sign up, the app and website did not work. The QR code also didn't work.

I emailed Keytrade and it was some automated message with help to log in. 

I got fed up and emailed them again but didn't get anymore replies. I can't even close the account. I would show screenshots if I could.",2025-02-25,BE,Negative,"The customer had multiple issues with Veronique Keytrade's service, including failed sign-up attempts and technical problems with the app and website. They also experienced frustration not receiving further assistance despite repeated emails.",Negative
Mark Lerno,5,en,Great start with easy application and good communication,"I am an ex-Belgian, now residing in Australia, who receives a modest pension from the Federal Pensions Service. ING's excessive fee structure has prompted me to look for another bank into which my pension can be deposited. After failing to find a bank that would allow me to open and activate an account remotely, I stumbled onto Keytrade. I was pleasantly surprised that they allowed me to fill out their comprehensive application form, followed by an acknowledgement and request for identification documentation, which I have provided. I am hopeful that my application will be approved. I found the website user-friendly, so we'll see what happens from here. ",2025-02-02,AU,Positive,The customer is satisfied with Keytrade's convenient online account activation process and positive user experience. They are hopeful for approval of their application and find the website to be easy to use.,Positive
Client MCM,4,en,info concise,info concise,2025-01-13,BE,Neutral,Concise information.,Neutral
J De Greef,5,en,No complaints,No issues with online banking without having or using bankcards,2025-01-09,BE,Positive,The customer found no issues with online banking without using bankcards.,Positive
Monir Moutawakkil,5,en,Login simplification,Login simplification,2025-01-02,BE,Positive,"The reviewer found the ""Login simplification"" process efficient.",Positive
Vincent,5,en,Very reactive support,Very reactive support,2024-12-09,BE,Positive,The customer is satisfied with the reactive support they received.,Positive
M. Beaujean,1,en,Terrible support and extremely long waiting times,"Terrible support. People sound like students on the phone, they don't listen to what you say, speak barely Dutch. Long waiting times before you get to speak to someone... very very very lousy service. This is not an occasional thing... it's really ALWAYS like that. And they always respond on trustpilot ""We're working diligently to enhance our services and decrease the waiting times based on feedback like yours""... but it never gets resolved: look at all the terrible reviews! It's been going on for ages!",2024-12-09,BE,Negative,"The customer is extremely dissatisfied with their experience, describing poor communication, long wait times, and consistently bad service. They also criticize the company's response to feedback on platforms like Trustpilot.",Negative
Zlolkill,1,en,"Can't setup an account, TERRIBLE support","I tried creating an account, but had no response for a full month, until I suddenly got an email asking me personal irrelevant information. 

I reply with the information and once again no response for 30 days.

I also haven't received any letter with the code for activating my account. I wasted 2 months trying to setup an account while I could just setup an account with a different bank within a day.

I do NOT recommend Keytrade bank, avoid at all cost.",2024-12-04,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer had issues with Keytrade bank's account setup process, including no response for a long period, personal irrelevant emails, and lack of communication regarding necessary account activation codes or confirmation. The customer expressed dissatisfaction with the time spent on troubleshooting and recommended not recommending Keytrade bank.",Negative
Ismail Zekhnini,1,en,I recently contacted the Keytrade call…,"I recently contacted the Keytrade call center to inquire about opening a bank account, and my experience was nothing short of appalling. I spoke with an agent named Siam on Monday, November 25th, 2024, at around 10:30 am, and was shocked by her rude and unprofessional behavior.

From the start, Siam was dismissive and seemed unwilling to assist me. Her tone was abrupt, and her attitude made me feel like I was an inconvenience rather than a valued potential customer. To make matters worse, she hung up on me in the middle of our conversation. This level of disrespect is unacceptable and has left me questioning how someone with such poor customer service skills was hired for a customer-facing role.

I strongly urge the management to review the recording of this call and address this issue immediately. Such behavior tarnishes Keytrade’s reputation and could deter potential customers from ever considering your services. This experience has made me seriously reconsider whether I want to bank with Keytrade at all.",2024-11-25,GB,Negative,"The customer had a very poor experience with Keytrade’s call center agent, Siam. She was rude and unprofessional, leading to frustration and regret for the potential customer.",Negative
Vincent,5,en,Good trading and email support ok,"Saw many others complaining about support and want to give good feedback to balance out a bit.

I’ve been customer for around 14y now, got trading, current account, pension and since few months also visa.

Cost for current account is as advertised, no cost and gives back a cent per transaction. (Unlike ING that changed free online account into 2e/month).
The debit card works as other banks, also outside EU.

Trading is same day (dep on market open hour) while ING has a delay of 1d last time I tried.


Support:
I never called on phone, had few queries on different topic through the years and I did all via email with good response time and result. I’m happy in general.


",2024-11-21,BE,Positive,The customer is satisfied with the overall experience and finds good support.,Positive
kola,1,en,Worst bank in belgium.dont let yourself…,Worst bank in belgium.dont let yourself be fooled by their free account. Zero customer service .they kick you out when they dont earn enough out of you. Claims they dont honour. Go for the well known banks and not this tiny amateuristic bank.,2024-10-05,BE,Negative,"The customer is extremely dissatisfied with the bank, calling it the ""worst"" and advising against choosing it due to poor service, lack of honor in transactions, and a reputation for not being reliable.",Negative
Elliot Lopez,1,en,i tried to open an account for my child and all went wrong,"i tried to open an account for my child, it took 6 weeks to get back with all information and they opened on my name, when i contacted them (40min wait in the phone) they told it was my fault because i didnt selected 'kid's plan' although when they requested the documents they ask me a copy of my id and a copy of my child's id. I have submitted several emails to ask for an update and i get no answers, phone calls wait is 40min at least and service desk does not know what went wrong, just terrible service!",2024-10-02,BE,N/A,"2. **Summary**: The customer had a very poor experience due to long wait times and unclear issues, with no resolution despite multiple attempts.",N/a
Klient Gosia,1,en,Customer service on the lowest level,I was trying to pay for something a couple of hundreds euro with the credit card and each time I tried to confirm the QR code I was receiving error and it was impossible to finalize the payment. So I called the help desk. The gentlemen on the phone told me there's no request for payment on my account and that problem is with me not with the bank. So thank you for nothing Keytrade Bank - you just lost a client...,2024-09-19,DE,Negative,"The customer had issues with their credit card payment and was unsatisfied with Keytrade Bank's response, leading to the loss of a client.",Negative
Kristof,1,en,"support truly unacceptable, gif us our money!","
After five years of not using our Keytrade Bank account, we discovered that friends had been depositing money into this account without our knowledge. Unfortunately, we had lost our keys and tokens, making it impossible to access the account. Since January (8 months), we have been trying to regain access, but the customer service has been utterly disappointing. They have failed repeatedly to assist us, leaving us frustrated and concerned. At this point, we are seriously questioning whether we will ever see our money again. The lack of support from Keytrade Bank is truly unacceptable.",2024-08-28,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer is extremely unhappy with Keytrade Bank's customer service, feeling betrayed and frustrated due to their inability to access the account after keys and tokens were lost. They question whether they will ever see their money again and find the support provided by Keytrade Bank unacceptable.",Negative
Albert en Marilyn,1,en,Still waiting on our stolen money,"Card gets blocked because of a scam. So far so good 👍.
We received an email that the amount will be transferred back in a couple of days. Medio augustus still waiting on or money... Several calls, different answers, still no refund...just give us back our stolen money and fulfill your promise!",2024-08-08,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer is dissatisfied as they received a blocked card due to a scam, spent money on an amount that never gets transferred, and had multiple unsuccessful attempts to receive a refund for the lost money.",Negative
Pascal,2,en,Unresponsive & unhelpful in case of e.g death,"When your account gets blocked (e.g. decease), Keytrade is unresponsive. Out 4 banks I have had to deal with Keytrade is by far the slowest, least responsive and most administrative. Furthermore, their Terms & Conditions give them a discretionary, unilateral right to block accounts and zero guidance, procedure or appeal options - unless a lawyer - to unblock. For info: Argenta was by and large the fastest and easiest to work with in my particular case.",2024-07-23,BE,Negative,"The customer had a very negative experience with Keytrade when their account was blocked. They mentioned being unresponsive, slow, and administrative, as well as the lack of support options like appeals or procedures. They also criticized Argenta for a perceived unfair right to block accounts.",Negative
Miss Jin,5,en,Easy to use online banking,Easy to use online banking! Also nice referral bonus!,2024-07-13,MO,1. Positive,"2. ""Easy to use online banking! Also nice referral bonus!""",Positive
